Rodada;Data;Horário;Dia;Mandante;Visitante;Vencedor;Arena;Mandante Placar;Visitante Placar;Estado Mandante;Estado Visitante;Estado Vencedor
7;27/05/2018;16:00;Domingo;Internacional;Corinthians;Internacional;Beira Rio;2;1;RS;SP;RS
7;27/05/2018;19:00;Domingo;América-MG;São Paulo;São Paulo;Independência;1;3;MG;SP;SP
8;30/05/2018;21:45;Quarta-feira;Grêmio;Fluminense;-;Arena do Grêmio;0;0;RS;RJ;-
8;30/05/2018;21:00;Quarta-feira;Chapecoense;Ceará;Chapecoense;Arena Condá;2;0;SC;CE;SC
8;30/05/2018;21:45;Quarta-feira;Cruzeiro;Palmeiras;Cruzeiro;Mineirão;1;0;MG;SP;MG
8;30/05/2018;19:30;Quarta-feira;Vitória;Internacional;Internacional;Barradão;2;3;ES;RS;RS
8;30/05/2018;21:00;Quarta-feira;São Paulo;Botafogo-rj;São Paulo;Morumbi;3;2;SP;RJ;SP
8;30/05/2018;19:30;Quarta-feira;Sport;Atlético-MG;Sport;Ilha do Retiro;3;2;PE;MG;PE
8;30/05/2018;19:30;Quarta-feira;Vasco;Paraná;Vasco;São Januário;1;0;RJ;PR;RJ
8;31/05/2018;21:00;Quinta-feira;Athlético-PR;Santos;Athlético-PR;Arena da Baixada;2;0;PR;SP;PR
8;31/05/2018;18:00;Quinta-feira;Corinthians;América-MG;Corinthians;Arena Corinthians;1;0;SP;MG;SP
8;31/05/2018;16:00;Quinta-feira;Flamengo;Bahia;Flamengo;Luso Brasileiro;2;0;RJ;BA;RJ
9;02/06/2018;16:00;Sábado;Atlético-MG;Chapecoense;-;Independência;3;3;MG;SC;-
9;02/06/2018;16:00;Sábado;Internacional;Sport;-;Beira Rio;0;0;RS;PE;-
9;02/06/2018;19:00;Sábado;Vasco;Botafogo-rj;Botafogo-RJ;São Januário;1;2;RJ;RJ;RJ
9;02/06/2018;21:00;Sábado;Palmeiras;São Paulo;Palmeiras;Allianz Parque;3;1;SP;SP;SP
